game_title,platforms,release_date,developer,publisher,genre,source_url,stats_url,crit_score,total_crit_reviews,crit_pos,crit_mix,crit_neg,user_score_mc,total_user_reviews,user_pos,user_mix,user_neg,total_user_ratings,user_05,user_10,user_15,user_20,user_25,user_30,user_35,user_40,user_45,user_50,total_diff_votes,diff_simple,diff_easy,diff_justright,diff_tough,diff_unforgiving,total_playtime_votes,0_hour,1_hour,2_hours,4_hours,8_hours,12_hours,20_hours,40_hours,60_hours,over_80_hours,total_ownership_votes,own_played,own_owned,own_own,total_completion_votes,comp_triedit,comp_playedit,comp_halfway,comp_beatit,comp_conqueredit
The Legend of Zelda: Ocarina of Time,Nintendo 64,1998-11-23,Nintendo,Nintendo,Open-World Action,https://www.metacritic.com/game/the-legend-of-zelda-ocarina-of-time/,https://gamefaqs.gamespot.com/n64/197771-the-legend-of-zelda-ocarina-of-time/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,99,22,22,0,0,9.1,12048,10810,522,716,11402,231,31,19,38,64,179,438,1150,2325,6926,6690,70,465,5039,1059,57,5150,25,7,10,26,96,283,965,2325,805,608,15863,4010,1085,10768,10938,560,877,633,3517,5351
SoulCalibur,Dreamcast|iOS (iPhone/iPad)|Xbox 360,1999-09-08,Namco,Namco,3D Fighting,https://www.metacritic.com/game/soulcalibur/,https://gamefaqs.gamespot.com/dreamcast/198705-soulcalibur/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,98,24,24,0,0,7.6,757,547,94,116,1085,6,0,0,0,8,22,89,237,315,408,612,7,28,494,77,6,440,16,18,15,19,36,65,115,90,23,43,2082,406,199,1477,1132,86,162,43,432,409
Grand Theft Auto IV,PlayStation 3|Xbox 360|PC,2008-04-29,Rockstar North,Rockstar Games,Open-World Action,https://www.metacritic.com/game/grand-theft-auto-iv/,https://gamefaqs.gamespot.com/xbox360/933037-grand-theft-auto-iv/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,98,86,86,0,0,8.3,5926,4724,820,382,7406,49,17,28,58,129,309,770,1799,2663,1584,2193,32,217,1529,399,16,1369,6,1,5,12,19,67,252,532,243,232,12015,1628,720,9667,8468,1311,2193,543,3281,1140
Super Mario Galaxy,Wii|Nintendo Switch,2007-11-12,Nintendo,Nintendo,3D Platformer,https://www.metacritic.com/game/super-mario-galaxy/,https://gamefaqs.gamespot.com/wii/915692-super-mario-galaxy/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,73,73,0,0,9.1,4822,4421,206,195,7955,34,11,13,28,63,221,603,1501,2757,2724,4302,69,515,3101,587,30,2949,5,5,9,20,115,332,862,1143,254,204,13231,2108,621,10503,8792,697,1115,590,3460,2930
Super Mario Galaxy 2,Wii|Nintendo Switch,2010-05-23,Nintendo EAD Tokyo,Nintendo,3D Platformer,https://www.metacritic.com/game/super-mario-galaxy-2/,https://gamefaqs.gamespot.com/wii/960551-super-mario-galaxy-2/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,87,87,0,0,9.0,3350,3031,148,171,4558,45,3,2,14,23,98,296,837,1337,1903,2989,37,228,2076,599,49,2049,3,6,8,17,60,207,530,802,223,193,7726,1441,286,5999,4862,435,624,474,1800,1529
The Legend of Zelda: Breath of the Wild,Wii U|Nintendo Switch,2017-03-03,Nintendo,Nintendo,Open-World Action,https://www.metacritic.com/game/the-legend-of-zelda-breath-of-the-wild/,https://gamefaqs.gamespot.com/switch/189707-the-legend-of-zelda-breath-of-the-wild/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,109,106,3,0,8.9,25688,22502,1376,1810,9825,233,37,22,50,64,189,326,908,2540,5456,7653,99,358,3663,3323,210,5824,32,6,15,25,21,35,73,273,443,4901,13212,3787,200,9226,8217,148,1067,1123,3989,1890
Perfect Dark (2000),Nintendo 64|Xbox 360,2000-05-22,Rare Ltd.,Rare Ltd.,FPS,https://www.metacritic.com/game/perfect-dark-2000/,https://gamefaqs.gamespot.com/n64/198275-perfect-dark/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,30,30,0,0,8.3,654,523,71,60,2032,19,8,4,8,29,75,188,397,603,701,1156,3,18,423,649,63,735,1,1,1,23,50,88,140,243,53,135,3856,721,280,2855,2295,228,399,179,905,584
Tony Hawk's Pro Skater 3,Xbox|PlayStation 2|GameCube|PlayStation|PC|Game Boy Advance|Nintendo 64,2001-10-30,Neversoft Entertainment,Activision,Skating,https://www.metacritic.com/game/tony-hawks-pro-skater-3/,https://gamefaqs.gamespot.com/ps2/476948-tony-hawks-pro-skater-3/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,34,33,1,0,7.6,705,508,107,90,662,24,1,0,3,14,54,115,193,146,112,370,9,37,280,39,5,260,0,2,4,16,18,37,81,65,12,25,1419,280,160,979,753,68,97,46,276,266
Red Dead Redemption 2,PlayStation 4|Xbox One|PC,2018-10-26,Rockstar Games,Rockstar Games,Open-World Action,https://www.metacritic.com/game/red-dead-redemption-2/,https://gamefaqs.gamespot.com/ps4/200179-red-dead-redemption-2/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,99,98,1,0,8.9,33080,29171,1727,2182,2736,62,24,15,34,37,89,157,376,857,1085,2145,36,286,1657,144,22,1602,9,7,4,7,11,14,21,145,382,1002,3939,1049,75,2815,2326,84,351,301,1193,397
Grand Theft Auto V,PlayStation 3|Xbox 360|PlayStation 4|Xbox One|PC|PlayStation 5|Xbox Series X,2014-11-18,Rockstar North,Rockstar Games,Open-World Action,https://www.metacritic.com/game/grand-theft-auto-v/,https://gamefaqs.gamespot.com/ps3/634490-grand-theft-auto-v/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,66,66,0,0,8.5,15064,12747,1429,888,5472,72,17,14,36,63,176,428,1053,1725,1888,4306,85,542,3269,356,54,2970,16,10,7,18,31,102,291,952,741,802,8160,1614,465,6081,5101,142,678,603,2634,1044
Metroid Prime,GameCube|Wii,2002-11-17,Retro Studios,Nintendo,FPS,https://www.metacritic.com/game/metroid-prime/,https://gamefaqs.gamespot.com/gamecube/447244-metroid-prime/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,70,70,0,0,9.1,1693,1532,86,75,4594,20,9,8,22,46,136,332,781,1435,1805,2596,6,59,1729,753,49,1751,3,3,4,15,84,275,740,455,91,81,7880,1046,461,6373,5147,524,795,441,1703,1684
Grand Theft Auto III,PlayStation 2|PC|iOS (iPhone/iPad)|Xbox|PlayStation 4|Game Boy Advance,2001-10-22,DMA Design,Rockstar Games,Open-World Action,https://www.metacritic.com/game/grand-theft-auto-iii/,https://gamefaqs.gamespot.com/ps2/466217-grand-theft-auto-iii/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,56,56,0,0,8.0,2208,1534,564,110,3235,8,3,13,39,66,244,558,910,778,616,1916,20,93,1268,504,31,1191,2,3,3,13,23,80,217,450,190,210,6002,1061,614,4327,3606,291,671,372,1275,997
Super Mario Odyssey,Nintendo Switch,2017-10-27,Nintendo,Nintendo,3D Platformer,https://www.metacritic.com/game/super-mario-odyssey/,https://gamefaqs.gamespot.com/switch/200275-super-mario-odyssey/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,114,114,0,0,8.9,10969,9843,634,492,5121,103,12,9,17,27,104,242,810,1377,2420,3713,79,635,2759,209,31,2840,15,3,9,23,62,169,417,1136,643,363,7432,2147,118,5167,4129,62,402,263,2291,1111
Halo: Combat Evolved,PC|Xbox,2001-11-15,Bungie,Microsoft Game Studios,FPS,https://www.metacritic.com/game/halo-combat-evolved/,https://gamefaqs.gamespot.com/xbox/472132-halo-combat-evolved/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,68,68,0,0,8.6,3349,2840,279,230,3228,25,10,6,19,57,164,361,760,974,852,1587,9,83,1129,345,21,1187,2,2,9,31,179,294,376,160,36,98,5480,1068,397,4015,3548,268,295,112,1543,1330
NFL 2K1,Dreamcast,2000-09-07,Visual Concepts,Sega,Football Sim,https://www.metacritic.com/game/nfl-2k1/,https://gamefaqs.gamespot.com/dreamcast/914206-nfl-2k1/stats?utm_source=cnp&utm_medium=metacritic&utm_campaign=UXNR-1256,97,22,22,0,0,5.5,139,65,18,56,146,23,1,0,1,2,10,31,31,24,23,56,1,8,44,2,1,26,0,0,0,2,0,2,8,8,1,5,374,57,41,276,134,30,53,3,32,16
